Palabra,Conteo
modernizacion,0
respeto,1
justicia,7
reforma,40
revolución,0
empresas,9
seguridad,13
compromiso,7
inversión,10
económica,8
trabajadores,3
trabajo,6
deuda,1
externa,0
concertación,0
estabilidad,3
solidaridad,0
democracia,4
medio,4
ambiente,2
campesinos,0
salud,4
inflación,0
impuesto,0
salarios,0
