Palabra,Conteo
prisión,2
puestos,2
marcha,38
obligado,3
replegarse,1
casos,20
otros,43
forzado,1
estrategia,64
contribuido,8
reducir,27
vinculada,3
comparado,1
prevaleciente,1
paulatina,1
recuperación,11
territorios,6
estaban,10
manos,12
reestablecimiento,1
refleja,2
confianza,22
ejercicio,3
frente,33
hace,35
50,15
ciento,63
consideraban,1
inseguridad,12
principal,8
porcentaje,1
siendo,8
importante,50
reducido,3
30,20
podemos,27
escatimar,1
esfuerzos,32
urgente,5
par,3
desarrollan,2
acciones,47
policiacas,3
persecutorias,2
estamos,171
trabajando,25
prevención,16
delito,8
combate,21
construyendo,20
nuevo,35
modelo,9
policía,22
través,57
sistemas,6
procedimientos,2
homologados,1
estándares,2
internacionales,39
tres,76
niveles,21
corrupción,20
policiaca,2
creamos,6
centro,13
evaluación,12
finalidad,5
asegurar,8
persona,2
colabore,1
institución,4
policial,7
sea,22
confiable,2
cubra,2
perfil,3
requerido,1
honestos,6
capaces,6
decir,52
hacen,7
falta,20
comprometidos,3
respalden,1
permitan,17
construir,51
nueva,58
cultura,15
legalidad,9
denuncia,3
podremos,11
limpiar,4
iniciado,3
sistema,54
único,11
información,23
criminalística,1
mediante,26
red,12
interconexión,3
voz,6
datos,11
imágenes,2
denominada,7
plataforma,10
permitirá,14
generar,29
inteligencia,7
hará,3
eficaz,8
labor,14
investigación,10
enfatizar,1
parte,79
preventiva,4
pusimos,16
práctica,4
limpiemos,2
zona,15
programa,79
cuatro,42
componentes,2
son,99
rescate,5
espacios,11
públicos,37
están,56
pasarlos,1
escuela,11
segura,7
llegue,5
escolares,8
tratamiento,29
adicciones,10
ciudadana,4
nuestra,127
inaplazable,2
modernizar,6
leyes,12
instituciones,55
esa,46
razón,15
reformas,37
constitucionales,2
propone,3
otras,33
cosas,9
fortalecer,52
labores,7
policíaca,1
establecer,7
premisas,1
crear,4
fuerte,28
dotar,1
mejores,33
herramientas,3
encargadas,1
ampliar,15
víctimas,13
procesos,9
porque,76
siempre,17
resultan,2
desprotegida,1
aprobarse,5
estas,29
contará,1
instrumentos,5
constituyendo,1
amenaza,9
disminuya,1
transitoriamente,1
notoriedad,1
cancela,1
continúen,1
acecho,1
busquen,2
constantemente,2
doblegar,1
atemorizar,1
someterla,1
vamos,32
permitirlo,1
sigue,8
adelante,38
unámonos,1
torno,6
común,13
recibí,1
estabilidad,9
económica,75
mantenido,5
consolidado,8
favorable,1
bajas,3
tasas,6
inflación,6
interés,11
hecho,33
dispuestos,3
volver,2
vivir,56
otra,35
crisis,55
señales,1
claras,2
rumbo,4
firmeza,9
certidumbre,4
inversionistas,3
internacional,92
crecido,4
notablemente,2
ejemplo,76
alcanzó,5
punto,14
bajo,23
historia,39
junio,16
año,160
turbulencias,3
recientes,3
mercados,18
financieros,2
bancos,1
centrales,3
países,76
inyectar,1
cientos,3
miles,12
millones,162
dólares,24
financiero,6
atender,13
problemas,29
solvencia,1
caso,31
mexicana,32
demostrado,4
solidez,6
monetario,2
hubieran,3
generado,8
reservas,13
registrado,2
precedente,8
tenemos,70
71,2
incluso,18
superiores,7
saldo,1
total,15
deuda,15
externa,6
necesaria,5
pero,81
sé,44
suficiente,9
mejorar,17
calidad,45
vida,50
gente,31
requiere,22
lograr,30
crecimiento,56
alto,17
sostenido,9
distribuido,2
redunde,1
mayores,29
ingreso,44
pobres,35
le,52
digo,7
única,9
vía,4
crecer,7
inversión,70
privada,8
global,31
detone,1
permita,23
tanto,30
necesitamos,26
invierta,1
instale,1
fábricas,2
talleres,1
invernaderos,1
hoteles,1
oficinas,3
camino,11
correcto,1
prueba,5
generada,2
recibido,9
productiva,7
cantidades,2
inéditas,1
semestre,6
nuevas,31
inversiones,11
13,8
200,20
cifra,16
alta,14
alcanzada,1
logrado,20
sostener,2
empleo,55
pesar,26
limitado,1
expansión,7
principios,11
expectativa,1
sector,34
privado,5
generarían,1
600,7
informar,1
acuerdo,41
registros,3
trabajadores,29
afiliados,5
seguro,62
enero,10
pasado,38
618,2
formales,5
esto,47
significa,27
tan,39
ocho,9
alcanzamos,5
optimista,1
prevista,2
nombre,4
apellido,1
sumado,1
trabajo,42
formal,2
número,17
registrados,4
imss,4
llegó,4
récord,5
yo,21
abatir,2
enorme,29
rezago,6
acumulado,3
décadas,18
embargo,20
positiva,4
perseverar,4
unas,2
políticas,23
acelerar,12
creación,18
nos,155
queda,3
claro,13
insuficiente,3
requerimos,5
tenga,11
sólido,5
transformar,30
fondo,35
estructura,3
convertir,4
uno,59
destinos,2
elevar,12
competitividad,27
sectores,9
productivos,2
producir,6
caro,1
cualquiera,1
economías,15
compitiendo,1
factor,6
clave,14
infraestructura,56
cual,29
dos,69
propósitos,2
contribuir,10
nivelar,2
menos,39
llevándoles,1
servicios,49
básicos,5
agua,40
drenaje,4
electricidad,13
incluye,12
proyectos,28
carretas,1
puertos,7
aeropuertos,6
corredores,2
multimodales,1
permitirían,2
logística,3
integrada,3
mundiales,3
planeta,4
coordinación,9
productivo,8
promoviendo,3
agenda,28
barreras,4
administrativas,4
enfrentan,4
emprendedores,3
abrir,4
negocio,5
reorganizamos,1
ampliamos,13
créditos,8
apoyos,12
pequeñas,10
medianas,10
empresas,32
nafinsa,1
pymes,7
