Palabra,Conteo
65,162
sean,113
amenaza,21
población,2179
asumió,22
atribuciones,59
mientras,249
inició,504
proceso,1076
reestructura,6
capacidades,562
destacando,80
unidad,587
especializada,188
búsqueda,177
personas,3768
desaparecidas,77
asimismo,1314
concretarse,2
constitucional,258
permitirá,290
crear,200
código,187
penal,560
procesal,15
otro,169
elemento,48
central,293
someter,3
actuación,163
autoridades,567
respeto,300
pleno,130
derechos,2229
humanos,1411
debo,2
destacar,95
cuentan,291
importantes,164
ordenamientos,51
adicionales,154
protección,1812
victimas,2
amparo,131
además,930
curso,269
actual,198
ordinario,34
presentará,2
paquete,78
iniciativas,224
sumarán,2
diversos,562
fin,1702
acotar,3
relación,903
suspensión,33
expulsión,7
extranjeros,201
redefinir,10
actualizar,81
fuero,108
militar,248
debe,92
proteger,234
empezando,1
valioso,5
vida,647
convicción,7
puesto,68
ciudadano,66
prioriza,10
reducción,467
número,1297
homicidios,42
dolosos,32
ocurridos,27
2012,1561
julio,1324
2013,2519
ciento,641
menor,307
comparación,205
mismo,940
antes,147
estos,912
vinculados,104
delitos,489
redujeron,29
20,763
disminución,318
particularmente,69
notoria,2
donde,692
requerido,20
focalizar,15
ejemplo,36
tamaulipas,631
bajó,3
chihuahua,798
nuevo,1302
león,656
hacia,444
reforzar,96
equipamiento,410
recursos,2522
suficientes,33
operativas,104
ninguna,15
parte,1478
territorio,417
deben,114
existir,6
circunstancias,15
obliguen,1
justifiquen,1
asumir,11
funciones,229
competen,2
públicas,1013
le,131
da,115
bienvenida,2
activa,130
propositiva,5
favor,227
apoyar,499
enriquecer,23
sigamos,3
tolerará,1
nadie,3
pretenda,2
propios,86
seguiremos,2
ciudadanía,170
tenga,27
confianza,141
partir,863
resultados,1249
eficacia,94
valor,622
lealtad,7
patriotismo,2
ejército,109
mexicano,899
aérea,251
velan,1
defienden,3
integridad,135
independencia,50
soberanía,29
agradecimiento,1
valoro,2
elementos,431
diario,250
reciban,25
ellos,229
indispensable,30
tener,149
efectiva,211
órdenes,337
encima,24
orígenes,4
disposición,215
corresponsabilidad,77
conseguir,17
construye,38
generación,655
enfoque,395
incorporó,128
perspectiva,323
género,753
estrategia,1181
plan,674
desarrollo,5491
organismos,590
promoverán,5
igualdad,531
mujeres,2002
hombres,513
acciones,4777
trabajamos,3
habitantes,377
gocen,3
diaria,20
reconoce,37
alimentación,368
derecho,396
básico,151
superar,22
pobreza,293
obligación,85
ética,80
convoca,7
compromete,4
mis,13
instruí,1
iniciar,91
cruzada,186
respaldo,26
siete,494
padecen,19
doble,51
condición,183
extrema,102
carencia,164
alimentaria,243
empezamos,1
400,92
prioritarios,177
entrega,176
apoyo,1501
mensual,147
250,69
familias,426
través,3498
tarjeta,52
sin,659
ella,33
pueden,252
adquirir,47
productos,682
básicos,203
descuento,21
tiendas,66
comunitarias,106
diconsa,33
coordina,25
institucionales,201
salud,2637
servicios,3568
vivienda,961
caminos,114
rurales,338
proyectos,3221
productivos,420
otras,603
simultáneamente,12
fortalecimos,1
oportunidades,393
ofrece,158
becas,625
estudiar,11
universidad,438
carrera,96
técnica,500
suplementos,27
alimenticios,31
embarazadas,115
primera,721
vez,393
beneficios,266
llegan,9
30,1362
localidades,368
indígenas,1307
mejorar,980
pueblos,463
comunidades,533
74,75
bases,299
universal,143
tengan,108
acceso,1485
pensión,79
básica,785
distintos,205
seguros,113
fortalece,104
sector,2201
hecho,47
énfasis,121
enfermedades,272
aplican,20
14,728
infraestructura,1898
médica,338
adultos,267
mayores,526
reciben,66
años,1464
tendrán,37
esperar,4
cumplir,158
70,170
ocurría,2
apoya,82
esto,214
significa,100
tan,22
seis,713
incorporaron,161
nuevos,663
beneficiarios,366
creación,607
seguro,434
jefas,100
él,19
protege,10
futuro,74
educativo,670
recibirán,3
mamá,1
llegue,7
faltar,1
final,157
prevé,115
dar,437
cobertura,742
tres,1630
efectivo,205
digna,78
emprendió,21
ajustes,53
modelo,664
habitacional,48
reglas,240
claras,29
construirán,3
viviendas,234
lejos,1
centros,1258
ni,51
deficiencias,4
elementales,1
urbano,447
sustentable,613
establece,325
toda,193
popular,119
financiada,24
subsidiada,1
cuente,44
menos,333
recámaras,1
ante,611
difícil,17
situación,506
atraviesan,4
algunas,68
empresas,1526
banca,300
haya,44
crédito,895
suficiente,50
oportuno,76
recuperar,51
ritmo,18
construcción,1352
trabaja,105
ejerza,7
herramientas,220
necesarias,104
permitan,262
forjar,2
propio,45
destino,150
necesitamos,2
educativa,689
promovida,17
contar,315
mejores,384
mañana,1
inicien,3
laboral,748
punto,78
quiero,3
dirigirme,1
especialmente,63
padres,147
quienes,218
enorme,3
esfuerzo,132
sigan,3
certeza,99
éxito,57
profesores,142
estarán,35
tiempo,515
escuela,256
contarán,4
materiales,361
educativos,524
dispondrán,4
computadoras,16
internet,345
alimentos,240
sanos,4
nutritivos,6
planteles,482
instalaciones,452
adecuadas,34
buen,68
tendrá,83
brindar,222
garantizar,730
maestros,172
media,852
inmensa,1
dando,48
clases,22
aulas,66
vocación,29
amor,3
cumplen,39
elevada,10
misión,105
nuevas,512
generaciones,31
nuevamente,17
amplio,50
ganan,1
supervisores,90
ganar,2
sigue,20
digo,1
porque,31
va,133
hace,78
semanas,44
presenté,2
legislación,112
secundaria,301
reitero,1
hice,1
participación,1699
haber,64
aprobado,157
felicito,1
reciente,35
discuta,1
apruebe,3
sentimos,1
orgullosos,1
democráticas,3
presiones,5
intereses,150
grupo,637
respeta,5
minorías,2
respetar,18
libertades,29
reconocer,57
buena,35
oponen,1
provienen,20
marginación,137
atraso,4
limitan,15
enseñanza,127
esas,42
condiciones,755
inaceptables,1
presentaré,2
presupuesto,588
egresos,164
2014,5245
especial,584
comprometidos,21
alumnos,870
llevaremos,1
exige,7
juntos,30
lograremos,1
asegure,19
horizonte,22
sea,147
campaña,243
ciclo,1350
escolar,1486
operaciones,736
estudien,3
luz,33
agua,889
mobiliario,61
decorosas,1
educativas,280
estatales,1003
duplicaremos,1
escuelas,907
completo,170
incrementarlas,1
700,67
15,868
beneficio,1112
octubre,925
iniciará,12
fase,361
dotar,52
computadora,16
portátil,9
quinto,46
sexto,37
grado,219
primaria,470
entregarán,1
240,51
equipos,240
colima,530
sonora,734
tabasco,665
piloto,170
proyecto,1060
ingreso,398
familiar,239
permanencia,171
estudios,791
fortalecen,41
diversifican,3
actualmente,224
apoyan,31
ocho,451
desplegar,5
talento,35
invertimos,1
ciencia,317
tecnología,572
cultura,922
deporte,315
incrementado,19
inversión,2249
2018,512
alcance,122
meta,916
producto,237
interno,305
bruto,129
destinado,67
signatura,1
creadores,65
esenciales,31
apoyado,33
64,110
artísticos,49
culturales,370
35,225
inspiración,1
agosto,1124
conquistado,1
501,11
preseas,4
competencias,407
internacionales,994
149,42
medallas,36
oro,81
ganadores,32
demuestran,3
capacidad,736
competir,3
triunfar,1
aquí,5
principal,137
generar,414
crecimiento,745
elevado,22
sostenido,46
lleguen,1
economía,712
lograrlo,9
importancia,191
preservar,119
estabilidad,175
macroeconómica,49
alcanzada,21
congruente,18
presentar,95
económico,583
presupuestal,15
expidió,17
decreto,298
medidas,508
eficiente,397
transparente,63
eficaz,201
disciplina,83
presupuestaria,99
hacendaria,97
pondrá,8
orden,160
deuda,275
promoverá,9
finanzas,169
sanas,17
financiamiento,930
aprobada,51
constituyente,4
permanente,254
enviaré,1
leyes,154
secundarias,72
consolidarla,2
tenemos,11
necesaria,48
insuficiente,25
crecer,24
tasas,87
incrementar,559
ingresos,533
reales,375
democratizar,150
productividad,793
productiva,349
sectores,786
económicos,310
suscribieron,123
convenios,404
formalización,73
empleo,597
gobiernos,493
facilitar,293
transición,95
laborales,228
precarias,1
empleos,212
dignos,7
socialmente,17
útiles,51
diálogo,319
entendimiento,160
factores,169
producción,979
fomentar,564
acercamiento,54
cuenta,848
dinamizar,11
propósito,956
fomenta,54
innovación,761
precios,466
requisito,26
generalizar,2
tecnologías,485
logró,483
disponibilidad,123
costo,248
impulsa,93
sexenio,60
invertirán,6
rubro,84
cuatro,905
billones,4
inversiones,260
transportes,168
