Palabra,Conteo
rezagos,14
alimentación,217
otros,2202
requiere,65
inclusión,459
pobres,30
establecieron,137
criterios,291
priorizar,6
implementación,663
integrales,134
indígena,501
grado,243
marginación,238
altos,79
índices,99
condición,188
necesaria,30
incluyente,99
equitativo,43
siguientes,1711
reducir,268
condiciones,742
vulnerabilidad,186
otorgarles,5
ingreso,535
básico,288
universal,110
contributiva,12
reducción,291
adultos,226
sufrido,5
física,1003
proporciona,55
formación,669
técnica,381
productiva,248
fomenta,47
financiera,612
rural,792
localidades,457
marginadas,25
biodiversidad,91
contribuye,159
fortalecimiento,740
local,209
apoyar,275
comunidades,850
fueron,1516
afectadas,97
sismos,76
ocurridos,32
2017,4574
febrero,586
viviendas,168
escuelas,824
centros,1176
edificios,46
templos,11
forman,50
patrimonio,279
mejoramiento,208
acceso,1125
adecuados,24
subsidios,498
federales,764
otorga,101
beca,99
mensual,175
aprendices,74
capaciten,7
periodo,2013
hasta,1208
12,1893
meses,301
empresas,1378
públicas,1036
u,96
organizaciones,313
civil,568
desarrollar,144
habilidades,155
técnicas,209
hábitos,42
trabajo,1772
les,308
faciliten,19
inserción,24
laboral,700
otorgan,53
prioritariamente,18
estudiantes,719
cursen,5
diversos,324
básica,966
media,709
superior,1580
zonas,501
indígenas,1145
o,3390
alto,656
nivel,2090
ello,765
trabaja,92
ofrecer,56
calidad,800
equidad,170
bajo,548
universalidad,13
gratuidad,22
laicidad,6
obligatoriedad,31
integralidad,7
excelencia,80
ejemplo,46
aprobación,110
reforma,404
educativa,522
cual,1410
derogó,1
anteriormente,47
llamada,42
tiene,733
efectivo,143
orientado,32
superar,56
fragmentación,7
sistema,3573
operó,65
pasado,47
avanzó,128
conformación,61
prestación,185
gratuita,82
medicamentos,325
asociados,116
carente,3
desigualdad,99
mejora,496
gestión,602
medidas,588
contribuido,22
generación,595
ahorros,74
mejor,146
manejo,538
primera,598
mexicano,966
dar,320
prioridad,188
auténtica,8
perspectiva,277
realiza,281
esfuerzos,209
inéditos,3
conseguir,13
territorial,496
manifestaciones,35
antes,166
consideradas,25
expresiones,77
periféricas,3
ahora,69
están,329
centro,1075
testimonio,5
vivo,50
fuerza,323
nuestra,46
diversidad,200
capacidad,433
espacios,521
diálogo,338
comprensión,17
mutua,11
comunitaria,189
atiende,76
contextos,76
diversas,707
líneas,157
acción,307
reconocimiento,285
impulso,187
culturas,62
locales,606
artística,114
infancias,15
juventudes,27
vinculación,271
creativa,11
realidades,4
afectiva,2
colectiva,62
espacio,188
público,2339
concepción,9
sí,30
mismo,843
implica,42
decir,164
crear,75
riqueza,54
logra,10
ésta,40
distribuya,3
justa,29
nuevo,1494
logrará,2
tejido,118
enfoque,330
propone,19
disciplina,41
fiscal,648
cese,2
endeudamiento,40
autonomía,70
empleos,190
innovación,445
establece,247
compromiso,275
estabilidad,59
macroeconómica,14
interior,245
ya,537
considera,645
factores,127
historia,145
fijó,9
salario,438
mínimo,264
considerando,104
línea,1028
ingresos,689
definida,28
coneval,38
impulsó,176
salarios,357
mínimos,279
entró,100
vigor,143
partir,2820
enero,1389
gradual,33
sostenida,12
avanzar,114
estimular,24
fomentar,261
productividad,211
fuentes,219
frontera,292
beneficios,182
fiscales,552
aplicables,61
contribuyentes,161
aumentó,86
doble,29
energética,239
ha,755
garantizado,13
suministro,170
combustibles,201
energía,943
eléctrica,290
precios,762
accesibles,18
diseñado,16
producción,2085
importaciones,166
mediano,60
plazo,382
visión,121
elaborado,50
productivas,466
hidrocarburos,515
eléctrico,86
impulsado,56
exploración,204
petróleo,313
gas,805
comisión,2025
electricidad,375
trabajado,15
modernización,266
instalaciones,331
generadoras,20
restablecer,20
aumento,228
alimentos,355
estratégica,119
actividades,1567
agropecuarias,115
pesqueras,30
orientadas,73
elevar,37
agrícola,163
base,1914
sustentado,5
pequeños,127
medianos,78
productores,590
debido,1851
ellos,199
encuentra,332
potencial,145
aumentar,75
promotores,64
detonadores,9
articulación,90
fomento,486
productivo,82
agricultura,570
ganadería,123
pesca,327
acuicultura,16
aprovechamiento,287
agroecológico,8
resultan,14
esenciales,46
iniciado,25
proceso,1046
nuevos,436
presupuestarios,210
crédito,1430
ganadero,62
palabra,32
garantía,127
estos,669
atienden,57
principalmente,247
productoras,48
cuya,147
mayoría,88
vivido,9
rezago,175
fenómeno,63
aprecia,3
facilitó,38
pequeñas,144
medianas,119
esfuerzo,68
banca,491
enfocó,16
requieren,64
financiamiento,527
características,115
comercial,543
destaca,239
cuyo,160
ampliar,125
facilitar,150
apartadas,2
puedan,84
acceder,60
apoyos,970
contribuyen,103
tanto,428
reúne,12
realizados,154
durante,1226
siete,370
sentar,7
bases,215
honesta,4
austera,1
funcional,88
fortalecido,24
pacificación,26
curso,261
importante,138
propio,33
implicado,3
cambios,149
sustantivos,25
legislativa,43
fortalecen,32
toma,198
decisiones,180
duda,3
también,476
requerido,13
intensa,7
actividad,510
jurídica,313
certeza,96
transparencia,323
asuntos,590
par,15
gobernabilidad,69
órdenes,162
encauzado,1
algunas,147
ellas,129
incluyen,620
privilegiar,8
formular,14
mejorar,533
religiosa,26
transformar,28
impunidad,109
implementado,46
prevenir,335
sancionar,52
apf,344
5,2720
publicó,405
diario,378
oficial,621
federación,870
dof,843
código,149
servidoras,245
través,2231
303,125
comités,230
conflictos,221
interés,366
difunden,5
normas,147
22,1669
abril,871
elaboración,345
actualización,502
conducta,89
dependencias,1084
entidades,4250
sirvió,4
marco,1073
referencia,292
orientar,34
respectivo,8
deberán,48
observar,27
todas,392
cada,1731
uno,415
entes,64
promovido,19
legalidad,61
logró,370
100,1925
gabinete,56
ampliado,17
subsecretarios,29
delegados,6
hicieran,1
declaraciones,85
patrimoniales,59
órganos,421
vigilancia,500
control,1645
procura,8
difundan,3
cumplan,35
ordenamientos,31
responsabilidades,137
administrativas,341
213,189
internos,244
oic,107
unidades,1480
promueve,94
integridad,196
dependían,1
donde,621
operaban,2
creando,6
posible,130
conflicto,109
auditor,5
auditado,1
personal,981
transferencia,103
incorporarse,26
secretaría,4016
función,394
sfp,150
independencia,71
vigilar,31
transferido,23
convenios,457
secretarías,118
combatir,164
efectos,259
emprendido,6
campaña,112
procedimientos,429
quejas,89
denuncias,211
servidores,304
sanciones,161
proveedores,119
contratistas,78
disponible,1242
sitio,151
4,2450
destacan,424
recibieron,296
faltas,40
concluido,48
investigaciones,204
permanecen,5
abiertas,22
representa,262
incremento,604
38,919
recibidas,87
respecto,1830
comprendido,41
citar,1
algunos,166
ejemplos,7
relacionadas,139
robo,331
posibles,120
irregularidades,48
actuación,104
miembros,146
reguladores,12
desvío,22
indebido,9
contratación,219
indebida,1
centralmente,2
presuntas,67
representan,176
11,1912
26,1309
impusieron,44
502,96
inhabilitaciones,6
destituciones,5
123,361
total,6874
millones,5901
pesos,5107
353,108
suspensiones,10
655,41
amonestaciones,5
privadas,256
negligencia,11
administrativa,383
hubo,67
incumplimiento,45
declaración,134
patrimonial,95
procedimiento,154
abuso,48
autoridad,177
concluyeron,190
actos,251
fiscalización,131
cuatro,668
corresponden,733
visitas,363
inspección,237
44,790
auditorías,81
encuentran,421
346,111
integrados,53
276,138
35,1016
seguimientos,27
verificaciones,71
354,147
externas,78
cuyos,54
dictámenes,82
financieros,563
incorporaron,160
cuenta,1102
concluyó,224
seguimiento,1207
401,130
observaciones,64
determinadas,33
monto,541
solventar,26
determinaron,28
cuales,1572
deben,71
realizar,328
reintegros,5
correspondientes,371
aportaron,7
ser,441
solventadas,14
importe,67
acreditar,29
administrativo,187
responsables,679
contralorías,8
prescripción,13
solventación,4
solicitará,3
esas,38
instancias,203
inicien,7
administrativos,214
identificar,161
incurrieron,4
falta,86
derivaron,52
tienen,387
análisis,315
presentados,62
contrataciones,182
consolidación,181
normativo,95
congruente,12
garantice,27
mejores,169
precio,130
acorde,42
irrenunciable,1
cerrar,21
motivo,183
identificaron,90
probables,35
daños,98
propósito,479
asumir,7
papel,112
activo,203
acompañamiento,188
ejecutores,6
gasto,1374
riesgos,426
podrían,31
objetivos,286
metas,928
determinó,69
dos,1148
25,1471
estratégicos,163
relanzamiento,9
dependencia,169
responsable,874
lucha,68
contra,926
limita,10
hacía,3
mal,4
capaz,4
conformar,10
lograrlo,4
desarrolló,163
basado,51
cinco,619
ciudadanizar,5
relanzar,3
servicio,1324
profesional,250
carrera,108
democratizar,5
tecnologías,313
denuncia,110
alertadores,38
derroches,2
infraestructura,1546
ninguna,10
instrumentadas,11
afecta,49
tampoco,6
verán,2
afectados,69
presupuesto,1937
egresos,384
pef,91
redujo,65
personales,182
plazas,209
estructura,310
disminución,285
sueldos,14
47,688
orgánica,124
publicada,164
noviembre,715
sentó,2
rediseño,14
estructuras,53
medida,633
fue,1263
eliminar,45
duplicidades,4
fusionar,1
áreas,584
afines,24
centralizar,1
sola,38
unidad,1594
coordinación,1223
implementar,114
hacienda,895
shcp,294
emitieron,230
manual,37
tabulador,9
brutos,7
aplicable,97
presidente,281
vigencia,178
estableció,196
percepciones,9
brutas,2
términos,405
salarial,69
puesto,49
porcentual,184
secretarios,40
jefes,53
directores,20
generales,552
adjuntos,1
sustantivas,21
frente,194
eso,12
costo,158
ajustar,4
orgánicas,13
meta,1327
devolver,16
mando,53
enlace,47
generar,200
avance,1684
devolución,25
ahorro,431
cabe,136
aclarar,6
reestructura,12
organizacional,27
92,440
quienes,246
sujetos,262
operativo,146
categorías,73
similares,29
aprobada,167
cámara,188
diputados,248
posteriormente,37
senado,24
aprobó,159
julio,529
año,3934
propuesta,92
últimas,42
etapas,69
legislativo,176
proyecto,894
crea,51
será,94
monitoreada,3
evaluada,3
anualmente,73
continuar,126
costos,116
innecesarios,6
comité,433
evaluación,665
informará,2
obtenidos,90
impacto,356
reitera,6
adquisiciones,96
arrendamientos,59
adjudicarán,1
licitaciones,27
agrega,9
excepción,59
deberá,21
justificarse,1
plenamente,13
eliminan,2
gastos,180
superfluos,1
viajes,22
comidas,2
telefonía,97
automóviles,26
lujo,4
valor,1198
367,72
mil,1562
consultorías,1
podrán,56
contratarse,1
cuando,146
realizarse,19
sean,104
indispensables,15
entrada,146
quedará,3
prohibida,2
fideicomisos,79
mandatos,18
análogos,8
revisarán,1
hoy,39
existen,99
normativa,86
presupuestaria,1158
efectividad,41
eficacia,87
recomendaciones,176
elimina,50
delegaciones,79
extranjero,313
salvo,25
impartición,115
prohíbe,8
duplicidad,9
funciones,273
conforman,91
aclara,28
constituyen,50
asigna,8
secretario,95
únicamente,163
titulares,43
entidad,2397
permite,273
asignación,149
chofer,2
superiores,78
directo,890
prohíben,1
dirección,773
adjunta,6
ejerzan,22
facultades,27
contempladas,8
expresamente,1
reglamento,283
eliminarán,1
hayan,50
creado,35
después,61
2001,928
reestructuró,11
institucional,460
ciudadana,621
rendición,54
auspicio,3
elaboraron,112
lineamientos,338
gubernamental,87
medio,1215
consultivo,40
abierto,66
definido,21
participación,1414
7,2133
humana,106
peticiones,65
ciudadanas,50
redes,330
incluido,34
asistencia,451
ciudadanos,131
piloto,73
atendido,13
casos,609
mecanismo,303
fortaleció,177
difusión,374
información,4072
canales,104
interinstitucionales,61
intergubernamentales,7
habilitar,8
agencia,128
abierta,87
contraloría,82
federativas,2142
61,786
conocer,189
retroalimentación,9
diseño,266
validaron,20
esquema,311
operativa,90
anual,2523
15,2208
comparación,154
2013,4385
acuerdo,1248
registrada,560
informático,42
registrado,111
hombres,823
mujeres,2081
mismos,116
vigilado,1
obras,602
promover,581
incidan,9
suscribió,57
estatal,414
enmarca,8
cuestionario,23
diagnóstico,258
ejecutan,13
propios,446
municipios,2051
alcaldías,56
llevó,559
cabo,1446
sondeo,5
861,55
efectuaron,154
14,1889
talleres,255
ocho,347
contó,335
514,75
20,1806
494,109
municipales,456
provenientes,230
proporcionaron,74
materiales,386
finalmente,56
realizaron,1568
428,114
orden,154
municipal,298
llevaron,476
reuniones,435
jurídico,63
rige,5
83,577
profesionalización,163
planteado,4
serie,197
reformas,112
8,1809
spc,24
23,1577
mayo,967
emitió,121
metodología,387
valoración,780
comprobada,1
obtención,70
constancia,19
acredita,7
requisitos,88
ocupación,261
candidatos,97
ingresar,13
flexibilizar,3
procesos,582
actualizó,126
registro,1023
permitir,33
adecuada,113
primeros,184
hallazgos,17
identificó,88
menos,538
hablan,7
alguna,111
lenguas,220
originarias,39
mientras,251
razón,178
incorporar,67
plena,15
directrices,30
investigación,1075
debida,16
diligencia,5
vulneración,9
embarazadas,83
dirigidas,90
autoridades,494
competentes,51
marzo,996
conmemoración,33
día,280
mujer,179
presentó,289
reglas,231
permanencia,82
equitativas,7
involucren,6
hostigamiento,50
acoso,58
sexual,225
capacitado,21
presencial,131
desarrollado,49
compromisos,170
internacionales,640
erradicación,103
protocolo,200
sanción,85
hombre,45
nominal,113
212,187
151,293
358,103
226,132
área,410
807,44
subdirección,61
jefatura,46
departamento,32
cifras,4739
preliminares,1215
fuente,3463
datos,1891
plataforma,425
rhnet,3
sii,1
subsistema,46
certificación,329
reporta,209
siguiente,687
39,832
sensibilización,41
370,136
participantes,290
334,119
90,577
pertenecen,73
sujetas,48
10,2109
restante,34
corresponde,1301
contando,16
882,46
315,97
99,539
9,1667
resto,150
completaron,6
152,300
interculturalidad,29
162,301
capacitaron,89
125,319
portal,124
educa,1
cndh,100
puntogénero,1
inmujeres,130
27,1372
seminario,40
deontología,2
organizado,52
embajada,34
francia,227
reflexión,29
énfasis,83
organización,537
cadena,63
compilación,4
académicos,128
compilaron,1
ofrecen,111
micrositio,28
rubros,71
inicial,187
continua,271
alta,616
académicas,70
operadores,124
pretende,22
atienda,15
34,880
aprovechar,51
oferta,305
puede,1139
consultada,7
página,104
http,466
firmados,21
suscripción,38
modo,50
fortalece,57
colaboración,691
interinstitucional,225
conjunto,342
universidad,275
autónoma,151
distancia,245
celebración,45
memorándums,3
oficina,108
naciones,369
unidas,339
droga,11
delito,334
unodc,3
embajadas,38
chile,221
poner,51
aplicaciones,30
tecnológicas,138
avanzado,24
permitirá,91
cruzar,3
auditoría,104
tener,123
cercana,20
constante,39
relevantes,87
ayudar,9
verificar,58
ejercicio,911
lanzó,50
nómina,93
transparente,40
exceptuando,3
reservados,2
lanzamiento,38
podía,3
alrededor,113
desde,750
entonces,40
disponibles,200
maestros,205
federalizada,4
anticorrupción,115
promovió,176
formato,202
intereses,230
tercera,89
sesión,185
ordinaria,96
coordinador,43
celebrada,89
paralelamente,7
tecnológica,378
capturar,6
formatos,14
hacerla,9
accesible,25
citado,29
otro,232
paso,60
democratización,10
impulsada,45
software,20
libre,359
globaleaks,1
convertido,5
confidencialidad,11
externos,283
estamos,1
plataformas,118
seguras,39
compartido,17
colaborativo,18
cómputo,37
sumar,20
denuncien,2
graves,68
idea,5
central,386
fomentando,8
asegura,23
pueden,615
alertar,8
forma,527
sencilla,7
protegida,19
garantiza,60
necesario,69
anonimato,1
voz,31
elaboró,140
establecen,99
promoción,660
represalias,2
haber,57
denunciado,2
diseñó,70
proactivos,1
desahogo,13
claro,7
tiempos,78
definidos,19
da,190
asumió,33
hace,62
convención,83
interamericana,73
1996,354
2003,1134
sustituye,21
tratado,130
comercio,720
canadá,468
firmó,101
memorándum,58
partenariado,1
objeto,215
cooperación,784
prioridades,91
participó,491
activamente,43
alianza,364
prevenga,1
sancione,1
espionaje,2
2021,6599
fecha,246
programada,52
aspectos,77
tema,113
comunicación,386
publicidad,43
ejercieron,149
pagaron,11
contraste,11
emitido,36
ordenó,3
ajuste,84
partidas,18
expresidentes,3
suprimió,2
tipo,1185
disposición,160
especial,328
pensiones,261
haberes,1
remuneraciones,68
extitulares,1
presidencial,80
desapareció,1
élite,1
cuidaban,1
institutos,135
armados,13
pueblo,164
cuida,1
proméxico,12
cptm,3
decreto,563
publicado,529
autorizó,86
desincorporación,87
extinción,88
fideicomiso,233
considerado,84
paraestatal,18
decisión,31
atracción,44
extranjera,222
directa,276
desincorporado,1
diseñada,11
conducida,1
relaciones,519
exteriores,375
evitar,205
erogar,3
reforman,219
derogan,152
turismo,547
desincorporó,2
consejo,966
turística,185
empresa,219
mayoritaria,28
ordena,13
disolución,1
liquidación,66
presupuestal,39
asume,8
secretaria,43
órgano,169
encargado,20
ferias,58
tianguis,29
turístico,148
entregarán,2
terminar,15
prácticas,334
corruptas,3
influyentismo,1
electoral,199
transitó,3
intermediarios,81
tarjetas,35
enajenación,30
bienes,610
activos,322
destino,148
derivados,657
crimen,30
destacando,26
subasta,11
inmuebles,119
complejo,60
pinos,49
realizó,1145
terrenos,95
casas,124
abandono,106
dominio,84
decomiso,4
vendieron,4
nueve,250
propiedades,7
mdp,23
prevé,42
destinar,16
metlatónoc,3
cochoapa,1
grande,40
ambos,221
ubicados,115
montaña,26
guerrero,1496
19,2415
entrega,290
simbólica,1
señalados,40
muebles,120
vehículos,360
generó,71
54,748
transferidos,148
fiscalía,240
17,1783
entregaron,160
maría,100
zaniza,1
santos,5
reyes,19
yucuná,2
oaxaca,1638
110,444
lotes,43
joyas,4
tributaria,69
respectivamente,279
destinarán,5
municipio,369
